account_value,date,daily_return
1000000.0,2017-01-03,
1000116.9858162156,2017-01-04,0.00011698581621555348
1000137.7047555543,2017-01-05,2.0716515800156543e-05
1000464.4268452454,2017-01-06,0.0003266771047001349
999684.0756219787,2017-01-09,-0.0007799889754475098
998912.575517193,2017-01-10,-0.0007717439175028984
1000019.4478634339,2017-01-11,0.0011080772966221009
999597.3524009552,2017-01-12,-0.00042208725378345413
999618.5150066679,2017-01-13,2.1171130217600975e-05
1000572.1094690512,2017-01-17,0.0009539583831907894
1000439.610853321,2017-01-18,-0.0001324228553607476
999943.9700079192,2017-01-19,-0.0004954230520510805
1001993.8148521957,2017-01-20,0.002049959703502413
1001843.2221381759,2017-01-23,-0.0001502930574895922
1003587.7570344695,2017-01-24,0.0017413252470486196
1005574.7457680205,2017-01-25,0.0019798853858306042
1004540.9508772887,2017-01-26,-0.0010280636969877133
1004269.5425159683,2017-01-27,-0.0002701814804895175
1001819.2485148467,2017-01-30,-0.0024398768432059015
1001455.1765514868,2017-01-31,-0.0003634108287493554
1000278.0787617834,2017-02-01,-0.0011753873935294035
999364.1216932714,2017-02-02,-0.0009137029871166824
1002934.6694573325,2017-02-03,0.0035728196425655057
1002772.4875368879,2017-02-06,-0.00016170736278597886
1005608.348330017,2017-02-07,0.002828020142529919
1007242.4647798461,2017-02-08,0.001625002867709835
1012812.7082872886,2017-02-09,0.00553019129178578
1016301.4055254554,2017-02-10,0.003444563056546057
1020785.9104682273,2017-02-13,0.004412573788042051
1023051.4765493125,2017-02-14,0.002219433142494953
1033585.596804615,2017-02-15,0.010296764626970045
1034895.3802759818,2017-02-16,0.001267223029632003
1031394.1198455428,2017-02-17,-0.003383202299642396
1037097.1939614791,2017-02-21,0.005529480928968544
1040268.6791984062,2017-02-22,0.003058040514807292
1043259.4625267066,2017-02-23,0.0028750104546115818
1044755.8322494049,2017-02-24,0.0014343217353371962
1043577.1746076316,2017-02-27,-0.0011281656492269088
1042284.0388072891,2017-02-28,-0.0012391376812440624
1055341.8417114334,2017-03-01,0.012528065688395928
1051286.8304345054,2017-03-02,-0.0038423675785962397
1048006.7106336594,2017-03-03,-0.003120099772856766
1046576.9827489624,2017-03-06,-0.001364235429210714
1045515.3201660309,2017-03-07,-0.0010144142288920355
1042445.8845832634,2017-03-08,-0.002935811196224325
1042598.3821310959,2017-03-09,0.0001462882151368472
1049158.2026459237,2017-03-10,0.006291800013557891
1048582.4431298256,2017-03-13,-0.0005487823615599741
1044762.7709034309,2017-03-14,-0.0036427009162901536
1050486.8416630288,2017-03-15,0.005478823441084302
1049520.1554958383,2017-03-16,-0.0009202268213661657
1049339.784998432,2017-03-17,-0.0001718599652057451
1046671.9081686592,2017-03-20,-0.002542433697752977
1039999.6464164048,2017-03-21,-0.006374740451311811
1037904.862744194,2017-03-22,-0.0020142157542349937
1036548.1344583397,2017-03-23,-0.0013071798144072
1035095.3026624336,2017-03-24,-0.001401605721537691
1033343.1536535148,2017-03-27,-0.0016927417257250887
1037639.0561491089,2017-03-28,0.004157285486825257
1034580.9530550232,2017-03-29,-0.0029471742374800325
1034739.5662195205,2017-03-30,0.00015331150648867364
1032367.0574226036,2017-03-31,-0.002292855974943553
1033041.5408264389,2017-04-03,0.0006533368136709683
1031834.5077577591,2017-04-04,-0.0011684264581598436
1029673.245582653,2017-04-05,-0.002094582182372129
1028658.6356756057,2017-04-06,-0.0009853707585391058
1028482.7891844254,2017-04-07,-0.00017094737270628713
1029285.6407671776,2017-04-10,0.0007806174213074168
1030264.7072689552,2017-04-11,0.0009512097157480248
1030860.2815435563,2017-04-12,0.0005780788863278818
1025560.7353086319,2017-04-13,-0.005140896714915688
1034240.0622359314,2017-04-17,0.00846300626426344
1033020.9350323982,2017-04-18,-0.0011787661762951984
1025669.9778187332,2017-04-19,-0.0071159808716116935
1029465.380040268,2017-04-20,0.003700412709365164
1026744.1910944977,2017-04-21,-0.002643303017789478
1035374.3699198761,2017-04-24,0.008405383639111363
1042313.4708872833,2017-04-25,0.006702021190600149
1038064.1215067902,2017-04-26,-0.0040768439621872155
1039054.8871661224,2017-04-27,0.0009544358954378662
1038775.4611674347,2017-04-28,-0.00026892323219795955
1034776.868912796,2017-05-01,-0.0038493326075924594
1033558.9625712433,2017-05-02,-0.0011769748417669312
1034019.8218813934,2017-05-03,0.0004458955191135594
1036559.8851672211,2017-05-04,0.002456493804157356
1034291.8593913116,2017-05-05,-0.0021880315921578575
1033237.6671305695,2017-05-08,-0.0010192406052219605
1029128.646130661,2017-05-09,-0.003976840112033142
1028225.6051493683,2017-05-10,-0.0008774811435752206
1026555.0930605927,2017-05-11,-0.0016246552122507474
1025396.619114975,2017-05-12,-0.0011285063543582385
1027326.3071986237,2017-05-15,0.0018818943301317503
1026086.7731181183,2017-05-16,-0.0012065631648092712
1016704.8890276947,2017-05-17,-0.009143363247840597
1018617.0055171051,2017-05-18,0.0018806996111122576
1021912.0687800446,2017-05-19,0.0032348402246304975
1029059.4356738129,2017-05-22,0.00699411144277895
1028275.993535141,2017-05-23,-0.0007613186483819145
1030073.9964953461,2017-05-24,0.0017485606700042844
1036648.6296435394,2017-05-25,0.006382680439038779
1037996.6167574921,2017-05-26,0.0013003317376845125
1037023.2037898102,2017-05-30,-0.0009377804821008029
1042702.1222621002,2017-05-31,0.005476173003204243
1048614.292275528,2017-06-01,0.005670046974299403
1052048.7326556244,2017-06-02,0.0032752179761383893
1053049.3483134308,2017-06-05,0.0009511115091414002
1048450.9972239533,2017-06-06,-0.004366700474998875
1048992.5504427948,2017-06-07,0.000516526971957143
1047921.4847117462,2017-06-08,-0.0010210422663120555
1052039.7928591766,2017-06-09,0.003929977777450855
1053905.9533434906,2017-06-12,0.0017738497127015584
1057661.4033824005,2017-06-13,0.00356336353067932
1062898.0430460968,2017-06-14,0.004951149438704672
1064954.8989344635,2017-06-15,0.0019351394066660088
1064620.85859404,2017-06-16,-0.0003136661850730027
1066326.700741867,2017-06-19,0.0016023001372338364
1063240.6216250458,2017-06-20,-0.0028941215808196974
1061436.498387436,2017-06-21,-0.001696815566407217
1058031.5740328827,2017-06-22,-0.003207845556211897
1059493.395627121,2017-06-23,0.0013816426939570192
1061404.1631213226,2017-06-26,0.001803472774901671
1055033.4973383942,2017-06-27,-0.0060021111695981455
1058553.3320742645,2017-06-28,0.0033362303137769445
1050016.0253306427,2017-06-29,-0.008065070020508824
1050251.5268183746,2017-06-30,0.00022428370810612108
1056790.1371279755,2017-07-03,0.006225756537968419
1055055.5761729279,2017-07-05,-0.001641348546043031
1047796.8473063507,2017-07-06,-0.0068799492941473694
1052262.7536707916,2017-07-07,0.004262187251204086
1050550.7265711823,2017-07-10,-0.001626995817952337
1048018.8393374481,2017-07-11,-0.002410057096431495
1052731.7416125336,2017-07-12,0.004496963316103164
1051950.6090937653,2017-07-13,-0.0007420052876641048
1057778.1791239777,2017-07-14,0.005539775327696006
1057980.4220286408,2017-07-17,0.00019119595077166096
1059974.9865008392,2017-07-18,0.0018852565044389369
1062049.1917010345,2017-07-19,0.0019568435355654668
1062716.5880328217,2017-07-20,0.000628404349819478
1061275.2641917267,2017-07-21,-0.0013562636147074203
1061076.0286418,2017-07-24,-0.0001877322092100897
1054610.96771727,2017-07-25,-0.006092929017353699
1051827.4575930634,2017-07-26,-0.002639371492818343
1054271.5181361237,2017-07-27,0.0023236325743511976
1057404.9997912445,2017-07-28,0.002972177092160022
1064248.1193476715,2017-07-31,0.00647161641734062
1071796.3517199554,2017-08-01,0.007092549411231941
1072683.5439616241,2017-08-02,0.0008277619533272329
1075934.746029953,2017-08-03,0.00303090514125115
1076249.7783442535,2017-08-04,0.00029279871801057844
1075862.430028061,2017-08-07,-0.0003599055943951379
1074695.9181796112,2017-08-08,-0.0010842574439738906
1076173.467324356,2017-08-09,0.0013748532210373643
1069105.151284317,2017-08-10,-0.006568008090380384
1068249.4217921295,2017-08-11,-0.0008004165831204668
1074205.1146861115,2017-08-14,0.005575189438427719
1075873.831463913,2017-08-15,0.0015534433368333822
1078830.4583865204,2017-08-16,0.0027481167736782552
1069627.142022232,2017-08-17,-0.008530827335050062
1065503.834702591,2017-08-18,-0.0038549015424623745
